method,n,total_reward_mean,total_reward_std,served_mean,served_std,crashes_mean,crashes_std,charger_visits_mean,charger_visits_std,charge_time_mean,charge_time_std,on_time_mean,on_time_std,late_mean,late_std,mean_lateness_mean,mean_lateness_std,worst_lateness_mean,worst_lateness_std,reward_per_served_mean,reward_per_served_std,served_low_mean,served_low_std,served_med_mean,served_med_std,served_high_mean,served_high_std,drone_util_mean_mean,drone_util_mean_std,mean_recharge_interval_mean,mean_recharge_interval_std,route_efficiency_mean,route_efficiency_std
H1_cluster,850,1898.550705882353,817.7647955110563,58.35294117647059,27.384926120375855,0.0,0.0,17.58823529411765,18.379774640773796,35.01376470588235,34.091909567259734,52.94117647058823,23.11814941850987,5.411764705882353,6.130297267288536,8.322529411764705,5.603489554255125,17.539823529411766,16.014119951995536,33.13417647058824,1.410331608387787,16.235294117647058,9.320427378675657,17.705882352941178,8.915020251656106,24.41176470588235,9.917556641851656,0.2634705882352941,0.20357265964720636,66.31,59.96303410051444,0.03652058823529412,0.01817104391908737
H2_sweep,850,1639.391,788.6141596125084,52.76470588235294,28.432817954595848,0.0,0.0,13.411764705882353,15.94328443065968,27.112823529411763,30.54862929196366,46.23529411764706,21.598459493785125,6.529411764705882,9.37453664066591,11.559117647058823,10.165706530667238,24.451529411764707,28.841210755151113,32.37088235294117,1.572331545161405,15.235294117647058,9.077142313269533,16.235294117647058,9.21877412884798,21.294117647058822,10.665514730288304,0.21635294117647058,0.1885178509187239,56.94541176470588,52.81685454953124,0.037113529411764705,0.015309272208748538
H3_auction,850,2006.5385294117648,813.7546174956784,64.05882352941177,28.88682801099055,0.0,0.0,31.764705882352942,19.382485177515814,62.214882352941174,34.28999571637158,54.11764705882353,21.349860223421143,9.941176470588236,11.107519223577999,16.820941176470587,11.549118978174755,35.997764705882354,25.769153061991034,32.899764705882355,1.7549014156724883,17.764705882352942,9.686057954617086,19.823529411764707,9.3878307196313,26.470588235294116,10.399089653115054,0.43164705882352944,0.19117420973032787,118.15682352941177,50.99401090753313,0.020268823529411766,0.013785720015755528
H4_edf,850,415.48058823529414,129.0727287248475,11.588235294117647,3.415802387673884,0.0,0.0,1.3529411764705883,0.836531657762653,3.195470588235294,2.2427400769430217,10.882352941176471,3.1055699218656723,0.7058823529411765,1.673063315525306,2.1491764705882352,4.74631220349174,3.145058823529412,7.360241292315477,36.037705882352945,3.073220817215549,2.176470588235294,1.0979847756000967,3.764705882352941,1.3524575966044843,5.647058823529412,2.168985163537376,0.061941176470588236,0.02530955719297575,12.07770588235294,7.167011193116026,0.021935882352941177,0.004509898887115829
IPPO,4250,780.7777235294118,413.39901117420425,30.88564705882353,15.080551148404808,0.0,0.0,11.072470588235294,11.788734935174796,24.435848235294117,23.414513102950185,21.41364705882353,11.47950180751696,9.472,8.313791336248359,22.157161176470588,22.54297429999179,46.64080941176471,44.02168068730027,30.353578117647057,3.5845884273637667,10.05270588235294,5.544959352878719,10.27129411764706,5.792931919311869,10.56164705882353,5.89163035018664,0.21310635294117647,0.15613856529305845,45.05385082352941,32.39474291565365,0.01899277411764706,0.005937828194705591
MAPPO,4250,770.5955505882353,379.42385021501764,30.436705882352943,14.371180349468126,0.0,0.0,11.096,11.631763104563607,24.401504,22.79144922285864,20.97270588235294,10.756169546337937,9.464,8.063454394718924,21.50735694117647,19.052475928825622,46.06417388235294,41.50197455323646,30.17954117647059,3.711189581455889,10.026823529411764,5.387304579084923,10.071058823529413,5.683098530248911,10.338823529411764,5.611911442588492,0.2121070588235294,0.1504647482097026,45.005209176470586,31.819296340083138,0.01854592,0.005712746604826602
Attn-MARL,4250,1509.5181734117648,613.8842584871458,45.832235294117645,19.02921280375262,0.0,0.0,20.99435294117647,18.865154672859752,43.72033576470588,34.510542723852,31.918588235294116,16.002675637728455,13.91364705882353,11.077884996764976,32.30744376470588,37.18667659942222,76.31775764705883,69.85922301360145,38.59385788235294,5.57853839168202,6.168941176470589,6.035875725362108,15.054588235294117,9.199411294432677,24.60870588235294,10.299907092310427,0.33325976470588237,0.20588072966110915,70.31981529411765,46.72558992457938,0.018566004705882353,0.006972395423598928
